Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,gradient_clip,mul_name,qtype,test_acc_top1,Mode
2023-10-12 18:28:21,8.6min,3c2323ffff964040babdb50d73ddecea,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_017,8x3_affine_per_channel,0.9927999973297119,testing
2023-10-12 18:19:26,8.9min,57865338440c4575bff27db0d0593a1d,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_017,8x3_affine_per_tensor,0.9925000071525574,testing
2023-10-11 17:41:58,8.5min,bc94ef5f47e3475291d356bce38d257c,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_017,8x3_affine_per_channel,0.9922999739646912,testing
2023-10-11 17:33:20,8.6min,935c1483ab4148c1889d3a3d31b6696d,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_017,8x3_affine_per_tensor,0.9907000064849854,testing
2023-10-12 17:03:50,8.3min,364905cb455849239e961db1c246ae6b,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_003,8x3_affine_per_channel,0.9923999905586243,testing
2023-10-12 16:55:37,8.2min,4c34105c937d4ff7a13942bbc8f4b1fa,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_003,8x3_affine_per_tensor,0.992900013923645,testing
2023-10-11 15:45:57,8.1min,5706d843f53d43bebdaa181789a26713,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_003,8x3_affine_per_channel,0.9926000237464905,testing
2023-10-11 15:37:42,8.2min,f884e3a820c24a6d9280093fbb33502c,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_003,8x3_affine_per_tensor,0.9927999973297119,testing
2023-10-06 18:00:45,8.8min,2fe4613c527241d1b05ed057233be087,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_16X,8x2_affine_per_channel,0.9807000160217285,testing
2023-10-06 17:51:41,9.1min,7a16613c5db54fcbb72c7d734c7a1ffb,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_16X,8x2_affine_per_tensor,0.2653999924659729,testing
2023-10-06 13:43:11,7.4min,64d790ff3e834f619192ad1acc15eb16,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_16T,8x2_affine_per_channel,0.1356000006198883,testing
2023-10-06 13:35:57,7.2min,2832dc99e7d54495a034ca880b0a49c6,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_16T,8x2_affine_per_tensor,0.16519999504089355,testing
2023-10-06 15:42:05,8.5min,72ce4ad27eac4981bb479bf062de253f,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_14L,8x2_affine_per_channel,0.9914000034332275,testing
2023-10-06 15:33:16,8.8min,4f02475e3559403494edae3daa586867,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_14L,8x2_affine_per_tensor,0.9905999898910522,testing
2023-10-06 16:50:52,8.5min,fa8f386c203f4a6a88c0bc8a52c02c0e,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_13H,8x2_affine_per_channel,0.9929999709129333,testing
2023-10-06 16:42:11,8.7min,96671521489449eca7580c79f0d42708,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_13H,8x2_affine_per_tensor,0.9908000230789185,testing
2023-10-06 19:30:14,9.0min,3f2656d07ad64eb0b3bad0e9a9226503,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_11M,8x2_affine_per_channel,0.9901000261306763,testing
2023-10-06 19:21:00,9.2min,8e2edbc97c9f4a649aa5364959aefe10,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_11M,8x2_affine_per_tensor,0.9603999853134155,testing
2023-10-06 15:24:21,8.9min,134582bae1d140f08ebc814052d3b74a,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_10D,8x2_affine_per_channel,0.9912999868392944,testing
2023-10-06 15:15:13,9.1min,3858e68a7b7344b8a2b605df4f95f0c2,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_10D,8x2_affine_per_tensor,0.7958999872207642,testing
2023-10-06 16:16:33,8.5min,b331d22563b44739a749fc1ae5727d32,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_100,8x2_affine_per_channel,0.9925000071525574,testing
2023-10-06 16:07:50,8.7min,81f7784c77344625a2f8a55a5492531c,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_100,8x2_affine_per_tensor,0.9898999929428101,testing
2023-10-06 13:27:19,8.6min,98366930557642a39b1582e707dd7010,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0ZD,8x2_affine_per_channel,0.9918000102043152,testing
2023-10-06 13:18:22,8.9min,9e6237602c454ff4933a4c158a0053f8,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0ZD,8x2_affine_per_tensor,0.9907000064849854,testing
2023-10-06 18:18:19,9.8min,a29978ad64304b6298bdd8282aaaa6a2,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0X3,8x2_affine_per_channel,0.6328999996185303,testing
2023-10-06 18:09:35,8.7min,75abd03212df48b39103c51762ca9875,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0X3,8x2_affine_per_tensor,0.2071000039577484,testing
2023-10-06 19:48:21,8.9min,1c44e1e5c2054f0b8d1b03575d5e565b,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0VN,8x2_affine_per_channel,0.9915000200271606,testing
2023-10-06 19:39:11,9.2min,b20aa01d3ba244c2bbc86bd361889da5,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0VN,8x2_affine_per_tensor,0.9466999769210815,testing
2023-10-06 15:58:19,9.5min,256f47118d99490997785e1099fcae70,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0TD,8x2_affine_per_channel,0.31520000100135803,testing
2023-10-06 15:50:37,7.7min,bb66df8f136c46128561a7d3f83f6ab2,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0TD,8x2_affine_per_tensor,0.21950000524520874,testing
2023-10-06 17:42:46,8.9min,1db09769b55446d682228ed18b9b0468,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0NU,8x2_affine_per_channel,0.5569999814033508,testing
2023-10-06 17:34:06,8.7min,c39265f4e6ac48d381f2f079b98f3758,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0NU,8x2_affine_per_tensor,0.12809999287128448,testing
2023-10-06 14:15:28,7.5min,920f6ccafc49457aa1d2b41e29442cdc,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0H8,8x2_affine_per_channel,0.14880000054836273,testing
2023-10-06 14:08:36,6.9min,070fb350b00e4c039df3a23340fbe241,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x2u_0H8,8x2_affine_per_tensor,0.1264999955892563,testing
